block_number,timestamp,tx_hash,log_index,factory_contract_address,pool_contract_address,fee,token0_address,token1_address,ethereum_address
305665059,2021-05-06T15:05:11,0x8d9bff11aa8f1e2b430496991e8c9799bd47254dab64152a4d9e2f04f987e9d4,54,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xbA9458E13DF13517612A0f0b91A9bAB0d22ade90,10000,0x0563DCe613D559a47877fFD1593549fb9d3510D6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf6f072b972e34c06af3668d25f068c8d
305665286,2021-05-06T15:24:32,0x1ab4f2edb3be39e6b6f20ef7ede32f865c70836ce906901a1696ea92be795c49,140,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x29eE0ff115B8574b98eB6B5bD697059A15295C17,3000,0x0258F474786DdFd37ABCE6df6BBb1Dd5dfC4434a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x61ebe68101d7426ca6372a043a55ed4d
305665344,2021-05-06T15:29:34,0xa9c5ee7bf1439705b5c32ca03d0f789efb8fa30a2d81da2eeb8c02c3448cd9f6,210,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xdFe2B010Ca3e95438f4442752655D6f99D2daDeA,10000,0x43901e05f08f48546fFF8D6f8df108f60570498b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf1de8a6007ce4e67aa7e3ec51ddde541
305665601,2021-05-06T15:51:30,0xa40fb73c32b89ec532def2d0114d2172c9412a55b3f4be6cfb15df79782db174,273,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xF9D00163f49Fb4429714b50242524B43AA404c7B,3000,0xa150Db9b1Fa65b44799d4dD949D922c0a33Ee606,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x5fbe413b926a4735a110f1ff5cbb4cb5
305665634,2021-05-06T15:55:33,0x51979c6192584aba333f6b4ad4064dfa19d7ab1a4cb63bbf7082bf9f58c6b8f2,57,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x3856986a62eA0f26c4aa383350BF1A873953739A,10000,0x452eeae297Da0D5d8695edf1c81bE9b47585E003,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xbc6a3debfb53487094918e97af4c7240
305665891,2021-05-06T16:20:14,0x09e0ff3afafd94ae91c71f74b528c31c9a8bedd4a7c0bdfabdda91abf93e0176,143,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xB06E7Ed37CFA8F0f2888355DD1913e45412798c5,3000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xc944E90C64B2c07662A292be6244BDf05Cda44a7,0xff20727cb29a465ca2fd7ad36537b8a7
305666049,2021-05-06T16:30:32,0x316ad2fc2657220aa0f5e5b124ac83282dbe53ebb7c6df522a3387a01a62aafc,136,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x0bc1A6edafa658E6501d2107D8F31D490752B94b,3000,0xa92E7c82B11d10716aB534051B271D2f6aEf7Df5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xbf8b623cfde34b1abd139b97ecdb8081
305666066,2021-05-06T16:32:15,0xe33e4db2920637256e13539bb7b9b8eb005ca328658e2ac15af4fb8f69bd2509,199,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xef2431e4d8c55711e9728C6f0006035394232C69,10000,0x131AAE2862c7c3717Ff8Bf578F76bb42AF7e9b33,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x5e4ec0dbdfa245dca00de919e3b623af
305666102,2021-05-06T16:38:08,0x3a2bcf05921f38aea75c6562e378e2334a2c368a95dac4dca654ccdc74474fcd,148,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xDAB59355190d110F9F71a5F97993511343264dB3,3000,0x5F183834B61bf4D0cE28033871bFA408ff97f735,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xbe9318334eb14b7b9ed01a5a1b2add88
305666105,2021-05-06T16:38:34,0xc836d777501d5414b25b0ef5a2dd68656c2260e15b1810c562e6b3af9af689e7,158,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xe1b517E0b8F9a996e67f9089dfcE81fB494579ef,3000,0x747f564d258612ec5c4E24742C5fd4110bCbe46B,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf4a7f766b8af4c75b1e018383a785c25
305666163,2021-05-06T16:44:14,0xb9e20bc482310376d0ebe2b9e625a6e82ea2685d0d1b135d780e2112e68ec22d,97,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x5559d1c111dcB5591303FF14a869D84b6749aacd,10000,0x909CEfdFD59bF690A964bD2569c9443AFD7484BC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x079104a7913a4c7db7b4319178a7d7ae
305666329,2021-05-06T16:53:53,0xef1ff6039968d02fd30da987c129ae1b5d0a4a09019b523222a98dea4f06f8c5,171,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xAcDeF3d53F2a487C0ab2EA68a1CE5e0bDdF841BA,3000,0x59E9261255644c411AfDd00bD89162d09D862e38,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x725b726d7f774ed3b8e3e9ed9045a7cc
305666393,2021-05-06T17:03:15,0x74de7293f35e39a71c8225be79383bf48e1088958cd1a0483e2631108e3947ce,71,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x81663f727bf8461A9115b01748105cEc0fE44446,3000,0x59E9261255644c411AfDd00bD89162d09D862e38,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x2fa17b8dce2f49258c71b9ee2d1be28e
305668145,2021-05-06T17:19:07,0x69a46060112b09e8e6c4934165e099af411c44daf922d0e17090529bbc1ccc1e,160,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xC69b99E35D951a9D023355a89A848567d8B34687,10000,0x87E865de0d3A777Ac59B453a37f15E1D97c8D3b6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe73ffe1dc7de4759acb30fbaf9eeaba0
305668180,2021-05-06T17:24:07,0x6f515e753a64c8a000f7666a6c828114df2be7258a2925b4fa4024bd828f68e7,57,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x106EAa4c278f28C5C8Bdc5adB39B6421cAF6acad,10000,0x35E921ab360e1500516B065F6802943122B9B8bC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x6ef76f6d18264f42a7358ba416d57355
305668368,2021-05-06T17:36:09,0x77b896c47cebace63aaa5d18c07f01ba673ae6ab5f94f591bb884449764a9529,175,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x03a90943380F7EB21Fde74B94d945AA3E8508740,500,0x53dfEa0A8CC2A2A2e425E1C174Bc162999723ea0,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xba3f2d86448e407998421910548d0a13
305668456,2021-05-06T17:48:58,0x44a06fb2998214fee9f06d3fca2770f2ac774e3fe27c9baca7bb53ba59812376,63,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x68C89C8aE023904070250c6B71aC4b6FCE104b38,10000,0x0a7054A813db91b0812f60ECa6b4E61cfA0c808c,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xa6780f958d7a400c92cd9cf4464bde2e
305668647,2021-05-06T18:00:57,0x0155093b4c5fc082cc09470e9f268bb50db74cb810859f3eed32e26acad6a08c,36,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x0348287Cc7E7b31CaA986CF68Fc2c665B09DDaA1,3000,0xB92c8d91172156DFEa4EE54845b12EF2Bee00c90,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x4da4920202d14895b909af7af339ca92
305668711,2021-05-06T18:09:59,0x613dbcb7872ced164d7761d02c90272edd5f09a882a387dc803fcd1e5b4c847b,128,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xC4ee13DCd81B99db885eFfE36930950e014B839D,500,0x88c69E3F942Cf8E6aF57b91452349993254C2B74,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xa47c7793547e43cb8efb9806856a1253
305668736,2021-05-06T18:12:58,0xcda96232ea851fd49f592f2bda3e91150c0e34082633eac0f6729b00ef8820c7,162,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x818dbfb7e215ae074DB4167902DA9d89Aed6AD3f,3000,0x8eEF5a82E6Aa222a60F009ac18c24EE12dBf4b41,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xaf2fc0960c3941569130a0eb64c55663
305668899,2021-05-06T18:21:20,0x19dbb23a4b94411e4fe4eec835541cf99fc15b1d031e5ab956f65b0eda07f5de,92,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xF0586fef0291c262fDD1a14cD30ea8075804dD66,3000,0x152687Bc4A7FCC89049cF119F9ac3e5aCF2eE7ef,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc78bdf8a37014395a1c33bb695fa5d3b
305669015,2021-05-06T18:35:57,0xf5248c7a19959f4c56cd2357eccd30e7ba21027bac13efbedc67b23070adb71e,58,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xC0B338FD9Ad61a808a9FcEa24EeDdcC89F96068b,10000,0x56A86d648c435DC707c8405B78e2Ae8eB4E60Ba4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x48a62bc7b23a4572b745c62c88175217
305669221,2021-05-06T18:52:02,0x8769df794912f504a1536a7551c09a4874d2b6d059ae768bf69e5f57b5570042,235,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x8ac760b834870a922970248085d71a683502E238,10000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe3818504c1B32bF1557b16C238B2E01Fd3149C17,0xfe6cdea71ee242cda320ebbf54059abe
305669236,2021-05-06T18:53:06,0x774cf27d27f22dc37e5c3360339e50a971025d9cabc7e207428c74357fe27f52,198,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xad6D84516CBdFCdea2776AFeE0d17d187B47d170,3000,0xa150Db9b1Fa65b44799d4dD949D922c0a33Ee606,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x070170a379124dd59d8d5939ccabdc9a
305669513,2021-05-06T19:19:14,0x544666f1506b6f95ca58ce45db89c654f917a21b6ec1b4099dc4006ffcec2d70,37,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x0eDe8aFc34e7F092F27eEF121ACB4de4F2e010Cb,10000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a,0xe1840266add64bf58afe4ceee20335e0
305669959,2021-05-06T19:52:10,0x7e6b81224c18c9c8513287d536d48cef249b77b096b2e6341262b7434d1d84e8,3,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xFD8848704548eE535dc1E5D3A3e2Fe1d67B31892,10000,0x1473a39776754DE6C6c02DB9e00FB50F665357eC,0xda158328817C7B717c37A3B14833928e71446a92,0x3234e86f3c5a4a2193b303611c828160
305669960,2021-05-06T19:52:13,0xbb2f9373bbfa76cbd1797fa60cb55b7f6c7b5364d3b046fefadcbc7997473d7b,175,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xc92b7C2dbdA7de301fb682A9Da80813DEF952A2B,3000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xc7283b66Eb1EB5FB86327f08e1B5816b0720212B,0xe148fccb63c34b0fb123bc7cf774f6f4
305670209,2021-05-06T20:15:46,0x81d27ab85b3cfe12885113bc54d4bc80a2158b6b4948f1ff2ed847a9b07648c6,85,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x6F7328C2188B0A61c6d76165C272B8cB2DbC2f94,3000,0xa8006C4ca56F24d6836727D106349320dB7fEF82,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xa40c7fe618014b96b31a57943a2b8321
305670226,2021-05-06T20:17:47,0x1419639f073ed2a543b7806746d618bdc53f8d934ae340c097c23d332728f638,71,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x95b70B320819B1566c9A00626f57FDE85b402EA4,10000,0x178c820f862B14f316509ec36b13123DA19A6054,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x95cb5e6e9f444d34b5ce0d2d24445cf3
305670400,2021-05-06T20:25:33,0xea67d42eee1d904401bde5d73c5b4dd825ed4d32cd87e506ef89c47e5177560e,82,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x91EA7E4DBEC6115B6531Dd90456B23Dd83Ed7B85,10000,0xa9261e47033Ae52b5cA6AdC3844cdd5f3b2Bc375,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x56690dd6b0964711838259d0785458ad
305670498,2021-05-06T20:39:38,0xa344614aae495cead6a5e9c489fb83b39aa9055cabb90447fa51399a1444232a,12,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x0b17BCe10337AC829c190a94ADd5855bE588EbCC,3000,0x35E921ab360e1500516B065F6802943122B9B8bC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x22f627cb5b2044c3bb0d187cf3d69503
305672245,2021-05-06T20:56:02,0x5fa4a1bb77329d6e020e7f199642cd77b16b0b4f1ebc80a06f6a02b106dcde16,157,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xF8147d33614168adA826C7D2227506CE5Ee278D9,10000,0xbf52F2ab39e26E0951d2a02b49B7702aBe30406a,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xdd6a03fb291e4ffbba8be0e9ee35db08
305672326,2021-05-06T21:09:19,0x51b2696b97a0e29eea0ad4d053f7080c3934a0a052c37ebeae76cb36dea0347f,71,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x166B33973B9090E6C91E2C8a0e92d6CFbE84dd33,3000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xF2e10b224680189042863F80ce8b7Ab33f2747E2,0x850aeb45be834a77acddd8cfa2265ffc
305672455,2021-05-06T21:14:21,0x55a9c88643def04fa0affcb60b000db08b2ecc5a03ce9b1009425b8e7a209782,227,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xaF50b29da68ea7B1acF5a0df0a975657D4c26fF9,3000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xF4Cfe5253D5D0Ee6f9bBBCCCd809C9AA6f52a242,0xb540a7ab472c47f595e83a1498c178e5
305672482,2021-05-06T21:17:46,0xe91f244935c60c6e490af2724338d8f6ce62a7baf0d0557c4fffef38e1b58406,174,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x4674abc5796e1334B5075326b39B748bee9EaA34,500,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x4431c1127f024e7ea29bca65742ced31
305672582,2021-05-06T21:29:24,0x6e4ad43983fb23b3f5d7e4661dc54a5e44a7531109e844dd052ce3e212bf7371,251,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x655E25feD94ddb846601705ACE4349815E2A95D1,3000,0x67B6D479c7bB412C54e03dCA8E1Bc6740ce6b99C,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdb7c5a7ebbdb4cf7b8f5c5c992bacb63
305672595,2021-05-06T21:30:20,0x0d8b18a0d27eb9efa5111381224af219ba0922bbdff4be674837a2917bc9cded,111,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x84ea2e00FD6c4D08E88c5f59265b79dE530bEA0B,3000,0x93ED3FBe21207Ec2E8f2d3c3de6e058Cb73Bc04d,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xa45f22132cfc4aa98dc3d084ce5b067c
305672712,2021-05-06T21:33:41,0x60dbb61747f948adc5f9a21bd9ebe2f85224edc52a1f50b8392f336541dda5dc,3,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x63f89dF548Da9C9808dAA80B21fd9B58B7921d75,3000,0x02F2D4a04E6E01aCE88bD2Cd632875543b2eF577,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x9436fc5bee8a4473952b203ec0aa51c7
305672744,2021-05-06T21:38:43,0x5ec1b048c6e63c29fc0015b720fb6455982cab2b7f862df92964ad664bd1f439,145,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x8d14dd4a87707d38f5F77Cc893aCD59ECD1E0d74,3000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xC0F9bD5Fa5698B6505F643900FFA515Ea5dF54A9,0xcef04cdec596433a87d2b91d99c03a82
305672800,2021-05-06T21:46:20,0x9091350013627e09cccaeddf3a6ba82ccb0774d4ff0b79847f76745ce98900ce,65,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x5dF72cF0E6c482544235C4C19D279e8a53C9FD62,3000,0x30211F7de9bF35334c7F61545E8ed09bf9d9cC15,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xbf2a90e758c84f4d9aabef6258e08830
305672993,2021-05-06T21:58:49,0x9a3a4e223c53779a5826c1f4091a5e1fc283c10c7ac6cced0192ccef0d9a6c38,24,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x48E829622D3E660a9451d2E6cB1B192e2ff801DF,10000,0x30211F7de9bF35334c7F61545E8ed09bf9d9cC15,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd8e71972ccc1464a8330a895e06b81be
305673008,2021-05-06T22:00:02,0x2f61603aaeb5f2a96f94b460e829ede769a66252b6c0b44fdff17983804a75ac,203,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x57D7d040438730d4029794799dEEd8601E23fF80,500,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xe28ed395b1804ebd841009d7a6c461fc
305673032,2021-05-06T22:03:04,0x3a8f6895e2a0e1c75bbe8ddac8fcc75ea5db29a718f268237879cb9fb37f8f38,20,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xF0e4f487bFDB6a7A7D9384EAb36AAb9b3DB28eab,10000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xE4F356EcCe6FbDA81eCDea2E38527e59422861C2,0x9bcc9c65b0654f3cb44604b4ddc82574
305673063,2021-05-06T22:07:16,0x4c7474945d6637f0b13c920a2bb42d0dbf8aa163ede3aa846c35d93118c1ca39,100,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xEdFB147fb1Be5d1a6CaB1d8633f8B02B040EbF56,3000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc6CF3C3c693fb0a2c8aE69ec4c199a4BA285A594,0x70023dd7dc9846318d612c1e3b087811
